fold,ckpt,model,img_size,val_auc,T,t_star,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
0,weights/v3\hard_groupcv_v3A_fold0.pt,tf_efficientnet_b4_ns,384,0.7732021168624039,2.4670863151550293,0.46,0.7366310160427807,0.7096774193548387,0.8947368421052632,0.7915343915343915,0.7005347593582888,0.7616487455197133,0.743006993006993,0.7522123893805309
1,weights/v3\hard_groupcv_v3A_fold1.pt,tf_efficientnet_b4_ns,384,0.9166447079490557,1.2796697616577148,0.391,0.8462566844919787,0.88,0.8888888888888888,0.8844221105527638,0.7593582887700535,0.7996545768566494,0.8094405594405595,0.8045178105994787
2,weights/v3\hard_groupcv_v3A_fold2.pt,tf_efficientnet_b4_ns,384,0.9261865407319954,0.983910858631134,0.307,0.8697421981004071,0.875,0.9242424242424242,0.8989473684210526,0.7497326203208556,0.7845117845117845,0.8146853146853147,0.7993138936535162
3,weights/v3\hard_groupcv_v3A_fold3.pt,tf_efficientnet_b4_ns,384,0.9233291412145168,1.0271223783493042,0.428,0.8670284938941656,0.9386363636363636,0.8533057851239669,0.8939393939393939,0.746524064171123,0.8425357873210634,0.7202797202797203,0.7766258246936852
4,weights/v3\hard_groupcv_v3A_fold4.pt,tf_efficientnet_b4_ns,384,0.7688862652499017,1.3503539562225342,0.584,0.723202170963365,0.8467741935483871,0.6818181818181818,0.7553956834532374,0.7016042780748664,0.9103641456582633,0.5681818181818182,0.6996770721205599
