image_name,y,prob
181.jpg,0,0.2687222356848368
257.jpg,1,0.3353078240470485
179.jpg,1,0.8760817522977854
67.jpg,1,0.3810194935867016
64.jpg,1,0.9370429315535691
114.jpg,1,0.9392398113963172
102.jpg,1,0.824926151048985
185.jpg,1,0.9139603694564856
393.jpg,1,0.9255763208036403
276.jpg,0,0.8146914144386093
304.jpg,1,0.9443600451804747
366.jpg,1,0.9352626453628893
66.jpg,1,0.6750443643210531
310.jpg,1,0.7906902124585361
401.jpg,1,0.9452074015104857
378.jpg,1,0.9439366513400262
113.jpg,1,0.3916912887895292
262.jpg,1,0.9350070970403439
323.jpg,1,0.9228545455552557
407.jpg,1,0.7901416081959931
166.jpg,0,0.35292857249911935
107.jpg,1,0.5429031269349278
220.jpg,1,0.930958469671278
145.jpg,1,0.9278621559798418
124.jpg,1,0.8268704673033928
318.jpg,1,0.8928472100913364
324.jpg,0,0.17616313472415868
418.jpg,0,0.15428355090588328
255.jpg,0,0.3124462330763392
154.jpg,0,0.08806692158157928
233.jpg,1,0.7960977142864812
123.jpg,1,0.9527775219952253
344.jpg,0,0.14584726595026884
120.jpg,1,0.9650110656759774
419.jpg,1,0.8822379958736233
173.jpg,0,0.24957392681359428
326.jpg,1,0.8770260527106838
161.jpg,0,0.4433766682031067
358.jpg,1,0.8998775127499596
339.jpg,0,0.3941506698378956
65.jpg,0,0.15810561444467658
355.jpg,0,0.1861824739132352
369.jpg,0,0.6246760211343835
105.jpg,1,0.9014210065785039
153.jpg,1,0.9285056791834032
421.jpg,0,0.9546952669760254
223.jpg,1,0.8204875396542891
246.jpg,1,0.6397384846623566
98.jpg,1,0.8091873116767051
389.jpg,1,0.9035381368508344
338.jpg,0,0.2210467931665228
84.jpg,0,0.8927490969998458
99.jpg,1,0.939048003481151
73.jpg,0,0.0874749626386475
63.jpg,0,0.2807954017238479
90.jpg,1,0.5749087383316304
87.jpg,1,0.9021922952868409
391.jpg,0,0.5310406547622128
253.jpg,0,0.14116673766085444
371.jpg,1,0.9311758340867231
232.jpg,0,0.6022696163565071
385.jpg,1,0.9170356003361654
146.jpg,1,0.7312478595803137
160.jpg,0,0.2859366975821506
266.jpg,0,0.8998779102668457
387.jpg,1,0.9138397535282097
335.jpg,1,0.9431051665325594
177.jpg,1,0.9356579836269471
270.jpg,1,0.9345253191803554
414.jpg,0,0.0984090910806701
100.jpg,1,0.34356280064352074
365.jpg,1,0.8019930368048475
230.jpg,1,0.26488477519931725
222.jpg,1,0.7596471475197886
356.jpg,1,0.5910238038875822
147.jpg,1,0.9082255631478597
228.jpg,1,0.24943821265883032
225.jpg,1,0.9281982490644705
319.jpg,1,0.768549737114469
410.jpg,0,0.752126951290526
142.jpg,1,0.8861926296365661
376.jpg,1,0.9398327861257076
258.jpg,0,0.3082262183991365
308.jpg,1,0.6943406624356738
402.jpg,1,0.9349678525937937
317.jpg,0,0.7751490535559337
382.jpg,1,0.9175418910697958
331.jpg,1,0.9379070955395006
289.jpg,1,0.7782752224933757
240.jpg,0,0.1282941076309909
182.jpg,1,0.6738831019005992
171.jpg,0,0.09464722808272064
271.jpg,1,0.9428516785187716
184.jpg,1,0.943951804837967
342.jpg,0,0.1392705288925712
379.jpg,1,0.9224421911440435
306.jpg,1,0.9008342370454756
119.jpg,0,0.6891531440756384
320.jpg,0,0.15518279960088088
372.jpg,1,0.32959541760106104
281.jpg,1,0.898233898667953
162.jpg,0,0.10313670724686358
394.jpg,0,0.20102259364466402
70.jpg,0,0.08632454451102384
283.jpg,0,0.4548626849120279
235.jpg,1,0.7612794350053509
403.jpg,1,0.44806972597844913
305.jpg,0,0.40705258158191754
422.jpg,1,0.6465730771482979
420.jpg,0,0.38593733547391545
285.jpg,1,0.9347659976238011
62.jpg,1,0.8604972339837882
408.jpg,1,0.5864851022570059
168.jpg,0,0.15513263743132397
409.jpg,1,0.4972671990589119
373.jpg,0,0.32108795473690155
278.jpg,1,0.8930572189063997
330.jpg,0,0.10767162005750022
260.jpg,1,0.950023666095046
269.jpg,0,0.2762791484101205
190.jpg,1,0.9495467436468247
194.jpg,1,0.9252709538735249
388.jpg,1,0.7500641098017765
274.jpg,1,0.7195497873435258
152.jpg,1,0.330151969434397
183.jpg,1,0.9051324377238533
248.jpg,1,0.875748988281678
214.jpg,0,0.22202249365724178
380.jpg,1,0.9359464642578621
398.jpg,1,0.9259479692439447
327.jpg,0,0.11821979084123385
109.jpg,1,0.9294324348589507
237.jpg,0,0.6119858882633566
392.jpg,0,0.911388263976675
69.jpg,0,0.7696278191533532
192.jpg,1,0.7025722949373325
221.jpg,1,0.9057384987610001
297.jpg,0,0.2553923344145496
175.jpg,1,0.9239551181386785
110.jpg,1,0.9455582587593113
155.jpg,0,0.1279651693997103
187.jpg,1,0.5518985497337778
211.jpg,1,0.9584163360760071
103.jpg,1,0.9150704987916971
381.jpg,0,0.3380639960293617
94.jpg,1,0.7057300852215367
209.jpg,1,0.38519314778829306
97.jpg,1,0.9185418817401008
343.jpg,1,0.7806142888163813
144.jpg,1,0.8420656045611302
273.jpg,0,0.17382743635178863
206.jpg,0,0.1446226712733704
156.jpg,1,0.6816321224008981
286.jpg,1,0.4798610805407014
149.jpg,1,0.8049672347755144
325.jpg,0,0.7777994948498671
370.jpg,0,0.19609128737731285
106.jpg,1,0.8681977344137751
202.jpg,1,0.39033901787706227
247.jpg,1,0.9049556667916111
395.jpg,1,0.9446821685204712
150.jpg,0,0.46941337007357137
92.jpg,1,0.813235375221905
143.jpg,1,0.919726977676511
216.jpg,0,0.3727101364203218
368.jpg,0,0.19079395811825847
322.jpg,1,0.9435519162932684
353.jpg,0,0.24311976110849368
264.jpg,1,0.5132658727331145
241.jpg,1,0.26746919070990655
141.jpg,1,0.7948917697259559
205.jpg,0,0.9009227918096117
256.jpg,0,0.14606231659155225
400.jpg,1,0.7247656723583852
245.jpg,1,0.8754518516546562
95.jpg,0,0.37824815515388743
207.jpg,0,0.20474335628163728
189.jpg,1,0.9344563787125365
